;Number of Data;Title;Authors;Source;Year;T (K);p (kPa);xC2H6;xC3H8;xCO2;xCH4;xN2;xC4H10;xH2S;C2H6;C3H8;H2O in Aqueous Liquid;Nonpolar Liquid;H2O in Hydrate;Vapor;H2O in Hydrate sII;H2O in Hydrate sI;CO2;C4H10;Ice;N2;CH4;H2S
31;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;269.65;4138.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
32;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;264.54;4138.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
33;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;262.59;4138.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
34;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;261.09;4138.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
35;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;277.87;4138.0;0.895;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
36;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;266.84;4138.0;0.895;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
37;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;263.43;4138.0;0.895;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
38;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;257.73;4138.0;0.895;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
39;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;278.1;910.0;0.168;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
40;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;278.1;1440.0;0.168;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
41;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;278.2;1550.0;0.168;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
42;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;278.3;2560.0;0.168;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
43;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;278.6;2790.0;0.168;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
44;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;279.9;1470.0;0.435;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
45;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;279.9;2300.0;0.435;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
46;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;280.2;5180.0;0.435;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
47;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;280.6;6550.0;0.435;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
48;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;284.3;2230.0;0.6890000000000001;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
49;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;284.3;2900.0;0.6890000000000001;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
50;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;284.4;5580.0;0.6890000000000001;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
51;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;284.5;7280.0;0.6890000000000001;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
52;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;277.87;655.0;0.0;0.72;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
53;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.93;531.0;0.0;0.72;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
54;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.48;455.0;0.0;0.72;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
55;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;275.87;496.0;0.0;0.557;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
56;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.37;565.0;0.0;0.557;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
57;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.65;607.0;0.0;0.557;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
58;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.98;648.0;0.0;0.557;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
59;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;277.37;717.0;0.0;0.557;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
60;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;275.76;496.0;0.0;0.541;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
61;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.43;593.0;0.0;0.541;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
62;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.98;655.0;0.0;0.541;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
63;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;277.59;765.0;0.0;0.541;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
64;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;277.65;848.0;0.0;0.541;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
65;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;273.87;441.0;0.0;0.342;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
66;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;274.15;469.0;0.0;0.342;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
67;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;275.04;586.0;0.0;0.342;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
68;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;275.76;689.0;0.0;0.342;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
69;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.21;827.0;0.0;0.342;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
70;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.26;848.0;0.0;0.342;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
71;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.48;869.0;0.0;0.342;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
72;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;277.52;1062.0;0.0;0.342;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
73;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;275.54;745.0;0.0;0.322;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
74;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.09;869.0;0.0;0.322;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
75;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;277.04;1138.0;0.0;0.322;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
76;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;277.21;1158.0;0.0;0.322;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
77;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;277.93;1220.0;0.0;0.322;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
78;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;278.54;1303.0;0.0;0.322;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
79;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;279.37;1427.0;0.0;0.322;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
80;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;280.43;1558.0;0.0;0.322;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
81;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;280.59;1613.0;0.0;0.322;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
82;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;281.09;1627.0;0.0;0.322;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
83;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;273.43;490.0;0.0;0.271;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
84;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;273.87;545.0;0.0;0.271;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
85;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;274.32;614.0;0.0;0.271;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
86;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;274.59;600.0;0.0;0.271;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
87;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;275.26;772.0;0.0;0.271;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
88;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;275.59;869.0;0.0;0.271;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
89;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;275.82;917.0;0.0;0.271;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
90;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;274.48;634.0;0.0;0.26;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
91;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;274.65;689.0;0.0;0.26;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
92;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;275.21;786.0;0.0;0.26;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
93;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.43;945.0;0.0;0.26;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
94;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;277.09;1020.0;0.0;0.26;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
95;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;277.71;1117.0;0.0;0.26;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
96;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;273.04;538.0;0.0;0.18600000000000003;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
97;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;273.76;641.0;0.0;0.18600000000000003;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
98;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;273.82;641.0;0.0;0.18600000000000003;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
99;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;274.26;662.0;0.0;0.18600000000000003;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
100;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;274.71;710.0;0.0;0.18600000000000003;0.0;0.0;0.0;0.0;0.0;1;1;1;0;1;1;0;0;0;0;0;0;0;0
