;Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);nC4H10/nC3H8;nCO2/nC3H8;nC2H6/nC3H8;nN2/nC3H8;nC3H8/nCH4;nC2H6/nCH4;nC4H10/nCH4;nCH4/nC3H8;nN2/nCH4;nCO2/nCH4;nH2S/nC3H8;nN2/nCO2;nCO2/nN2
935;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.4;2854.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0
936;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;283.2;4047.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0
937;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;287.7;7426.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0
938;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;289.8;10328.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0
939;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;289.8;10439.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0
940;Dataset 250;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;277.7;1600.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0
941;Dataset 250;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;283.9;3392.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0
942;Dataset 250;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;289.2;6964.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0
943;Dataset 250;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;292.0;10501.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0
944;Dataset 250;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;293.3;14127.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0
945;Dataset 251;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.1;1924.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0
946;Dataset 251;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;281.8;2648.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0
947;Dataset 251;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;286.7;4819.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0
948;Dataset 251;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;290.3;8136.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0
949;Dataset 251;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;291.2;9480.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0
950;Dataset 251;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;293.3;13783.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0
951;Dataset 251;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;295.0;20264.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0
952;Dataset 251;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;294.3;17161.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0
953;Dataset 251;Natural gas hydrates ;Wilcox, W. I., carson, D. B.[Don B.] and Katz, D. L.[Donald L.];Ind. Eng. Chem. 33, 662;1941;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;296.7;27503.0;0.0;0.0;0.0;0.0;0.0173;0.0456;0.0;0.0;0.0046;0.0055;0.0;0.0;0.0
