Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xH2O;xC3H8
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;234.21;3446;0.00000347;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;276.15;6893;0.00010373;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;263.15;6893;0.00003578;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;260.04;6893;0.00002542;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;252.04;6893;0.00001225;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;246.21;6893;0.00000703;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;234.21;6893;0.00000192;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;277.59;10339;0.00008115;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;266.48;10339;0.00002675;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;260.04;10339;0.00001467;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;252.04;10339;0.00000733;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;246.21;10339;0.00000375;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;234.21;10339;0.00000115;0.0531
